sgx,sgy,sgz
-2510.05,125.245,-5961.03
-2384.56,125.245,-5961.03
-2259.07,125.245,-5961.03
-2133.58,125.245,-5961.03
-2008.09,125.245,-5961.03
-1882.6,125.245,-5961.03
-1757.11,125.245,-5961.03
-1631.62,125.245,-5961.03
-1506.13,125.245,-5961.03
-1380.64,125.245,-5961.03
-1255.15,125.245,-5961.03
-1129.66,125.245,-5961.03
-1004.17,125.245,-5961.03
-878.677,125.245,-5961.03
-753.187,125.245,-5961.03
-2761.03,250.735,-5961.03
-2635.54,250.735,-5961.03
-2510.05,250.735,-5961.03
-2384.56,250.735,-5961.03
-2259.07,250.735,-5961.03
-2133.58,250.735,-5961.03
-2008.09,250.735,-5961.03
-1882.6,250.735,-5961.03
-1757.11,250.735,-5961.03
-1631.62,250.735,-5961.03
-1506.13,250.735,-5961.03
-1380.64,250.735,-5961.03
-1255.15,250.735,-5961.03
-1129.66,250.735,-5961.03
-1004.17,250.735,-5961.03
-878.677,250.735,-5961.03
-753.187,250.735,-5961.03
-2761.03,376.226,-5961.03
-2635.54,376.226,-5961.03
-2510.05,376.226,-5961.03
-2384.56,376.226,-5961.03
-2259.07,376.226,-5961.03
-2133.58,376.226,-5961.03
-2008.09,376.226,-5961.03
-1882.6,376.226,-5961.03
-1757.11,376.226,-5961.03
-1631.62,376.226,-5961.03
-1506.13,376.226,-5961.03
-1380.64,376.226,-5961.03
-1255.15,376.226,-5961.03
-1129.66,376.226,-5961.03
-1004.17,376.226,-5961.03
-878.677,376.226,-5961.03
-753.187,376.226,-5961.03
-2761.03,501.715,-5961.03
-2635.54,501.715,-5961.03
-2510.05,501.715,-5961.03
-2384.56,501.715,-5961.03
-2259.07,501.715,-5961.03
-2133.58,501.715,-5961.03
-2008.09,501.715,-5961.03
-878.677,501.715,-5961.03
-753.187,501.715,-5961.03
-2761.03,627.205,-5961.03
-2635.54,627.205,-5961.03
-2510.05,627.205,-5961.03
-2384.56,627.205,-5961.03
-2259.07,627.205,-5961.03
-2133.58,627.205,-5961.03
-753.187,627.205,-5961.03
-2761.03,752.695,-5961.03
-2635.54,752.695,-5961.03
-2510.05,752.695,-5961.03
-2384.56,752.695,-5961.03
-2259.07,752.695,-5961.03
-2133.58,752.695,-5961.03
-2635.54,878.186,-5961.03
-2510.05,878.186,-5961.03
-2384.56,878.186,-5961.03
-2259.07,878.186,-5961.03
-2133.58,878.186,-5961.03
-627.696,878.186,-5961.03
-2635.54,1003.68,-5961.03
-2510.05,1003.68,-5961.03
-2384.56,1003.68,-5961.03
-2259.07,1003.68,-5961.03
-2133.58,1003.68,-5961.03
-627.696,1003.68,-5961.03
-2635.54,1129.17,-5961.03
-2510.05,1129.17,-5961.03
-2384.56,1129.17,-5961.03
-2259.07,1129.17,-5961.03
-2133.58,1129.17,-5961.03
-627.696,1129.17,-5961.03
-2510.05,1254.66,-5961.03
-2384.56,1254.66,-5961.03
-2259.07,1254.66,-5961.03
-2133.58,1254.66,-5961.03
-2510.05,1380.15,-5961.03
-2384.56,1380.15,-5961.03
-2259.07,1380.15,-5961.03
-2133.58,1380.15,-5961.03
-2008.09,1380.15,-5961.03
-2384.56,1505.64,-5961.03
-2259.07,1505.64,-5961.03
-2133.58,1505.64,-5961.03
-2008.09,1505.64,-5961.03
-1882.6,1505.64,-5961.03
-2384.56,1631.13,-5961.03
-2259.07,1631.13,-5961.03
-2133.58,1631.13,-5961.03
-2008.09,1631.13,-5961.03
-1882.6,1631.13,-5961.03
-2259.07,1756.62,-5961.03
-2133.58,1756.62,-5961.03
-2008.09,1756.62,-5961.03
-1882.6,1756.62,-5961.03
-1757.11,1756.62,-5961.03
-502.206,1756.62,-5961.03
-2133.58,1882.11,-5961.03
-2008.09,1882.11,-5961.03
-1882.6,1882.11,-5961.03
-1757.11,1882.11,-5961.03
-1631.62,1882.11,-5961.03
-627.696,1882.11,-5961.03
-502.206,1882.11,-5961.03
-2008.09,2007.6,-5961.03
-1882.6,2007.6,-5961.03
-1757.11,2007.6,-5961.03
-1631.62,2007.6,-5961.03
-1506.13,2007.6,-5961.03
-627.696,2007.6,-5961.03
-502.206,2007.6,-5961.03
-2008.09,2133.09,-5961.03
-1882.6,2133.09,-5961.03
-1757.11,2133.09,-5961.03
-1631.62,2133.09,-5961.03
-1506.13,2133.09,-5961.03
-1380.64,2133.09,-5961.03
-1255.15,2133.09,-5961.03
-878.677,2133.09,-5961.03
-753.187,2133.09,-5961.03
-627.696,2133.09,-5961.03
-502.206,2133.09,-5961.03
-1757.11,2258.58,-5961.03
-1631.62,2258.58,-5961.03
-1506.13,2258.58,-5961.03
-1380.64,2258.58,-5961.03
-1255.15,2258.58,-5961.03
-1129.66,2258.58,-5961.03
-1004.17,2258.58,-5961.03
-878.677,2258.58,-5961.03
-753.187,2258.58,-5961.03
-627.696,2258.58,-5961.03
-1631.62,2384.07,-5961.03
-1506.13,2384.07,-5961.03
-1380.64,2384.07,-5961.03
-1255.15,2384.07,-5961.03
-1129.66,2384.07,-5961.03
-1004.17,2384.07,-5961.03
-878.677,2384.07,-5961.03
-753.187,2384.07,-5961.03
-1380.64,2509.56,-5961.03
-1255.15,2509.56,-5961.03
-1129.66,2509.56,-5961.03
-1004.17,2509.56,-5961.03
-2384.56,-564.951,-5898.28
-2259.07,-564.951,-5898.28
-2133.58,-564.951,-5898.28
-2008.09,-564.951,-5898.28
-2510.05,-439.461,-5898.28
-1882.6,-439.461,-5898.28
-1757.11,-439.461,-5898.28
-1631.62,-439.461,-5898.28
-2635.54,-313.971,-5898.28
-1506.13,-313.971,-5898.28
-1380.64,-313.971,-5898.28
-1255.15,-188.48,-5898.28
-1129.66,-188.48,-5898.28
-1004.17,-188.48,-5898.28
-2761.03,-62.9902,-5898.28
-878.677,-62.9902,-5898.28
-753.187,62.5,-5898.28
-2761.03,815.441,-5898.28
-627.696,815.441,-5898.28
-2635.54,1191.91,-5898.28
-2510.05,1442.89,-5898.28
-2384.56,1693.87,-5898.28
-502.206,1693.87,-5898.28
-2259.07,1819.36,-5898.28
-2133.58,1944.85,-5898.28
-2008.09,2195.83,-5898.28
-1882.6,2195.83,-5898.28
-502.206,2195.83,-5898.28
-1757.11,2321.32,-5898.28
-627.696,2321.32,-5898.28
-1631.62,2446.81,-5898.28
-1506.13,2446.81,-5898.28
-878.677,2446.81,-5898.28
-753.187,2446.81,-5898.28
-1380.64,2572.3,-5898.28
-1255.15,2572.3,-5898.28
-1129.66,2572.3,-5898.28
-1004.17,2572.3,-5898.28
-2447.3,-502.206,-5898.28
-1945.34,-502.206,-5898.28
-2572.79,-376.716,-5898.28
-1568.87,-376.716,-5898.28
-2698.28,-251.226,-5898.28
-1317.89,-251.226,-5898.28
-2698.28,-125.735,-5898.28
-941.422,-125.735,-5898.28
-2823.77,-0.245117,-5898.28
-815.932,-0.245117,-5898.28
-2823.77,125.245,-5898.28
-690.441,125.245,-5898.28
-2823.77,250.735,-5898.28
-690.441,250.735,-5898.28
-2823.77,376.226,-5898.28
-690.441,376.226,-5898.28
-2823.77,501.715,-5898.28
-690.441,501.715,-5898.28
-2823.77,627.205,-5898.28
-690.441,627.205,-5898.28
-2823.77,752.695,-5898.28
-690.441,752.695,-5898.28
-2698.28,878.186,-5898.28
-564.951,878.186,-5898.28
-2698.28,1003.68,-5898.28
-564.951,1003.68,-5898.28
-2698.28,1129.17,-5898.28
-564.951,1129.17,-5898.28
-2572.79,1254.66,-5898.28
-564.951,1254.66,-5898.28
-2572.79,1380.15,-5898.28
-564.951,1380.15,-5898.28
-2447.3,1505.64,-5898.28
-564.951,1505.64,-5898.28
-2447.3,1631.13,-5898.28
-564.951,1631.13,-5898.28
-2321.81,1756.62,-5898.28
-439.461,1756.62,-5898.28
-2196.32,1882.11,-5898.28
-439.461,1882.11,-5898.28
-2070.83,2007.6,-5898.28
-439.461,2007.6,-5898.28
-2070.83,2133.09,-5898.28
-439.461,2133.09,-5898.28
-1819.85,2258.58,-5898.28
-564.951,2258.58,-5898.28
-1694.36,2384.07,-5898.28
-690.441,2384.07,-5898.28
-1443.38,2509.56,-5898.28
-941.422,2509.56,-5898.28
-2635.54,-1129.66,-5835.54
-2510.05,-1129.66,-5835.54
-2384.56,-1129.66,-5835.54
-2259.07,-1129.66,-5835.54
-2133.58,-1129.66,-5835.54
-2008.09,-1129.66,-5835.54
-2761.03,-1004.17,-5835.54
-2635.54,-1004.17,-5835.54
-2510.05,-1004.17,-5835.54
-2384.56,-1004.17,-5835.54
-2259.07,-1004.17,-5835.54
-2133.58,-1004.17,-5835.54
-2008.09,-1004.17,-5835.54
-1882.6,-1004.17,-5835.54
-1757.11,-1004.17,-5835.54
-2886.52,-878.677,-5835.54
-2761.03,-878.677,-5835.54
-2635.54,-878.677,-5835.54
